Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_001_Gosi_POC,,,2019-03-29 13:14:59,2019-03-29 13:15:01,2.061s,ERROR
,,,,,,
Test Cases/TODO_Note_Page/TC_001_Add_Note,,Test to Validdate login is successful wit valid credentials,2019-03-29 13:15:01,2019-03-29 13:15:01,0.016s,ERROR
,,,,,,
Test Cases/TODO_Note_Page/TC_002_Add_Another_Note,,Test to validate that Invalid username is displayed when user tries to login with invalid username,2019-03-29 13:15:01,2019-03-29 13:15:01,0.008s,ERROR
,,,,,,
Test Cases/TODO_Note_Page/TC_003_Check_Active_Both_Values,,,2019-03-29 13:15:01,2019-03-29 13:15:01,0.008s,ERROR
,,,,,,
Test Cases/TODO_Note_Page/TC_004_Check_Completed_No_Values,,,2019-03-29 13:15:01,2019-03-29 13:15:01,0.042s,ERROR
,,,,,,
Test Cases/TODO_Note_Page/TC_005_Mark_One_Completed,,,2019-03-29 13:15:01,2019-03-29 13:15:01,0.005s,ERROR
,,,,,,
Test Cases/TODO_Note_Page/TC_006_Check_Clear_Completed,,,2019-03-29 13:15:01,2019-03-29 13:15:01,0.007s,ERROR
